,total_questions,valid_responses,invalid_responses,correct,accuracy,valid_accuracy,avg_time
vanilla,174,174,0,41,0.23563218390804597,0.23563218390804597,1.4912905816374153
qa_trained,174,174,0,41,0.23563218390804597,0.23563218390804597,1.5134397210745976
fulltext_trained,174,174,0,41,0.23563218390804597,0.23563218390804597,1.4739862351581967
